,president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,datenumber
1882,Donald Trump,All polls,10/24/2019,5/31/2018,6/6/2018,SurveyMonkey,D-,29493.0,a,0.3390053,0.0,45.0,53.0,42.504220000000004,52.16685,,,https://drive.google.com/file/d/1XApnTBEC8z0pM2mlsBBLTzZd-Xuyx9oA/view,52528,82981,6/7/2018,09:27:54 24 Oct 2019,736851.0
1887,Donald Trump,All polls,10/24/2019,6/2/2018,6/6/2018,Ipsos,B+,1512.0,a,0.1378194,0.0,38.8,55.9,39.52994,54.839580000000005,,T,http://polling.reuters.com/#poll/CP3_2/,52534,82989,6/9/2018,09:27:54 24 Oct 2019,736851.0
1888,Donald Trump,All polls,10/24/2019,6/4/2018,6/6/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.135206,0.0,49.0,49.0,43.2842,50.5743,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52527,82980,6/7/2018,09:27:54 24 Oct 2019,736851.0
1889,Donald Trump,All polls,10/24/2019,6/3/2018,6/7/2018,Ipsos,B+,1583.0,a,0.14241189999999998,0.0,38.4,55.8,39.129940000000005,54.73956999999999,,T,http://polling.reuters.com/#poll/CP3_2/,52533,82988,6/9/2018,09:27:54 24 Oct 2019,736852.0
1890,Donald Trump,All polls,10/24/2019,6/3/2018,6/6/2018,Fox News,A,1001.0,rv,1.804042,0.0,45.0,51.0,43.02095,51.88113,,,http://www.foxnews.com/politics/interactive/2018/06/07/fox-news-poll-67.html,52529,82983,6/7/2018,09:27:54 24 Oct 2019,736851.0
1891,Donald Trump,All polls,10/24/2019,6/4/2018,6/6/2018,Zogby Analytics,C,878.0,lv,0.8755838,0.0,44.0,52.0,41.52231,53.438219999999994,,,https://zogbyanalytics.com/news/854-the-zogby-poll-trump-s-job-approval-drops-but-remains-close-to-obama-s-rating-at-the-same-point-more-voters-still-trust-trump-compared-to-dems-with-economy-and-security-more-millennials-and-generation-z-voters-optimistic-about-the-next-four-years,52571,83067,6/18/2018,09:27:54 24 Oct 2019,736851.0
1892,Donald Trump,All polls,10/24/2019,6/4/2018,6/8/2018,Ipsos,B+,1559.0,a,0.1382979,0.0,39.5,55.2,40.22994,54.13958,,T,http://polling.reuters.com/#poll/CP3_2/,52546,83010,6/12/2018,09:27:54 24 Oct 2019,736853.0
1893,Donald Trump,All polls,10/24/2019,6/5/2018,6/7/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.1354774,0.0,47.0,51.0,41.2842,52.5743,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52531,82986,6/8/2018,09:27:54 24 Oct 2019,736852.0
1894,Donald Trump,All polls,10/24/2019,6/5/2018,6/6/2018,YouGov,B,1000.0,a,0.1539701,0.0,41.0,51.0,41.83332,53.4982,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/pzlp6sn41y/tabs_Trump_Tweets_20180605.pdf,52530,82985,6/7/2018,09:27:54 24 Oct 2019,736851.0
1895,Donald Trump,All polls,10/24/2019,6/4/2018,6/10/2018,Gallup,B,1500.0,a,0.8369164000000001,0.0,42.0,54.0,43.07228,52.4571,,,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx,52540,83004,6/11/2018,09:27:54 24 Oct 2019,736855.0
1896,Donald Trump,All polls,10/24/2019,6/6/2018,6/7/2018,YouGov,B,1000.0,a,0.1549892,0.0,40.0,52.0,40.83332,54.4982,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jtrsh05wxt/tabs_Trump_Tweets_20180606.pdf,52532,82987,6/8/2018,09:27:54 24 Oct 2019,736852.0
1897,Donald Trump,All polls,10/24/2019,6/4/2018,6/10/2018,SurveyMonkey,D-,10077.0,a,0.12549739999999998,0.0,44.0,53.0,41.504220000000004,52.16685,,,https://drive.google.com/file/d/1ZF63kKCYKi9oRIA1haXMvM4AxuSovnZe/view,57342,92733,1/18/2019,09:27:54 24 Oct 2019,736855.0
1898,Donald Trump,All polls,10/24/2019,6/5/2018,6/9/2018,Ipsos,B+,1541.0,a,0.1346622,0.0,40.3,54.9,41.02994,53.839580000000005,,T,http://polling.reuters.com/#poll/CP3_2/,52545,83009,6/12/2018,09:27:54 24 Oct 2019,736854.0
1899,Donald Trump,All polls,10/24/2019,6/7/2018,6/8/2018,YouGov,B,1000.0,a,0.15457579999999999,0.0,40.0,53.0,40.83332,55.4982,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l2a9yhxr2i/tabs_Trump_Tweets_20180607.pdf,52537,83001,6/11/2018,09:27:54 24 Oct 2019,736853.0
1900,Donald Trump,All polls,10/24/2019,6/1/2018,6/15/2018,Cards Against Humanity/Survey Sampling International,,800.0,a,0.9362321,0.0,42.0,43.0,43.932759999999995,46.89885,,,https://thepulseofthenation.com/downloads/201806-CAH_PulseOfTheNation_Crosstabs.pdf,56949,91918,11/28/2018,09:27:54 24 Oct 2019,736860.0
1901,Donald Trump,All polls,10/24/2019,6/6/2018,6/10/2018,Ipsos,B+,1496.0,a,0.1285731,0.0,40.3,54.5,41.02994,53.43958000000001,,T,http://polling.reuters.com/#poll/CP3_2/,52544,83008,6/12/2018,09:27:54 24 Oct 2019,736855.0
1902,Donald Trump,All polls,10/24/2019,6/6/2018,6/10/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.0813829,0.0,47.0,52.0,41.2842,53.5743,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52536,83000,6/11/2018,09:27:54 24 Oct 2019,736855.0
1903,Donald Trump,All polls,10/24/2019,6/7/2018,6/10/2018,Morning Consult,B-,1994.0,rv,0.3969282,0.0,45.0,52.0,43.42492,53.727,*,,https://morningconsult.com/wp-content/uploads/2018/06/180612_crosstabs_POLITICO_v2_DK.pdf,52541,83005,6/11/2018,09:27:54 24 Oct 2019,736855.0
1904,Donald Trump,All polls,10/24/2019,6/8/2018,6/10/2018,YouGov,B,1000.0,a,0.1534083,0.0,39.0,50.0,39.83332,52.4982,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3i93u683vp/tabs_Trump_Tweets_20180608.pdf,52538,83002,6/11/2018,09:27:54 24 Oct 2019,736855.0
1905,Donald Trump,All polls,10/24/2019,6/8/2018,6/10/2018,Public Policy Polling,B,679.0,rv,1.088835,0.0,39.0,54.0,38.49671,54.34627,,,https://www.publicpolicypolling.com/wp-content/uploads/2018/06/PPP_Release_National_61318.pdf,52549,83031,6/13/2018,09:27:54 24 Oct 2019,736855.0
1906,Donald Trump,All polls,10/24/2019,6/7/2018,6/11/2018,Ipsos,B+,1552.0,a,0.1310069,0.0,39.7,54.0,40.42994,52.93958000000001,,T,http://polling.reuters.com/#poll/CP3_2/,52543,83007,6/12/2018,09:27:54 24 Oct 2019,736856.0
1907,Donald Trump,All polls,10/24/2019,6/7/2018,6/11/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.24280380000000001,0.0,49.0,50.0,43.2842,51.5743,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52542,83006,6/12/2018,09:27:54 24 Oct 2019,736856.0
1908,Donald Trump,All polls,10/24/2019,6/5/2018,6/12/2018,Pew Research Center,B-,2002.0,a,1.732951,0.0,40.0,54.0,41.90068,50.76421,,,http://www.people-press.org/2018/06/20/voters-more-focused-on-control-of-congress-and-the-president-than-in-past-midterms/,52585,83097,6/20/2018,09:27:54 24 Oct 2019,736857.0
1909,Donald Trump,All polls,10/24/2019,6/9/2018,6/10/2018,Morning Consult,B-,2200.0,a,0.42891809999999997,0.0,40.0,54.0,38.42492,55.727,,,https://morningconsult.com/wp-content/uploads/2018/06/180615_crosstabs_BRANDS_FOODS_15_22_DK.pdf,57249,92540,1/8/2019,09:27:54 24 Oct 2019,736855.0
1910,Donald Trump,All polls,10/24/2019,6/9/2018,6/10/2018,YouGov,B,1000.0,a,0.1522851,0.0,42.0,49.0,42.83332,51.4982,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8dne9s9dpq/tabs_Trump_Tweets_20180609.pdf,52539,83003,6/11/2018,09:27:54 24 Oct 2019,736855.0
1911,Donald Trump,All polls,10/24/2019,6/8/2018,6/12/2018,Ipsos,B+,2373.0,a,0.19653900000000002,0.0,41.4,53.9,42.129940000000005,52.839580000000005,,T,http://polling.reuters.com/#poll/CP3_2/,52563,83048,6/15/2018,09:27:54 24 Oct 2019,736857.0
1912,Donald Trump,All polls,10/24/2019,6/7/2018,6/13/2018,SurveyMonkey,D-,13747.0,a,0.18053129999999998,0.0,45.0,52.0,42.504220000000004,51.16685,,,https://drive.google.com/file/d/1XkuWgvzNw5U_nMy9i7LDtrd9CgPdFkRE/view,52554,83036,6/14/2018,09:27:54 24 Oct 2019,736858.0
