STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/1/16,15.43,,0.04,,0.7,1.2,27,29,24,,260,250,23.9,31.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/2/16,14.54,,0,,0,1.2,30,35,28,,230,230,23,30,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/3/16,10.07,,0,,0,1.2,31,33,25,,290,290,23,30,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/4/16,7.61,,0,,0.2,1.2,23,27,7,,30,40,17,21,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/5/16,7.61,,0,,0,1.2,16,29,8,,200,210,16.1,21,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/6/16,7.61,,0,,0,1.2,25,36,20,,210,200,15,19.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/7/16,4.92,,0,,0,1.2,33,42,28,,150,140,12.1,13,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/8/16,6.71,,0.15,,0,0,35,39,30,,160,160,12.1,15,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/9/16,7.38,,0.53,,0,0,40,42,38,,220,220,13,17,1,1,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/10/16,17.9,,0.18,,1,0,30,38,16,,320,300,31.1,42.1,1,,,,,,,1
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/11/16,12.3,,0.08,,1.7,2,14,16,10,,270,270,23.9,28,1,,,,,,1,1
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/12/16,18.12,,0.08,,1.6,3.9,17,23,13,,270,270,28,36,1,1,,,,,1,1
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/13/16,13.2,,0.03,,0.5,3.9,14,18,12,,230,230,21.9,25.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/14/16,5.59,,0,,0,5.1,23,34,18,,230,230,17,21.9,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/15/16,10.29,,0.05,,0,3.1,35,42,22,,270,270,21,25.1,1,1,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/16/16,13.87,,0,,0,0,31,33,26,,300,290,21,29.1,,,,,,,,
