STATION,DATE,TAVG,TMAX,TMIN,datenumber
USW00014836,1/1/17,31,42,21,736330.0
USW00014836,1/2/17,33,44,23,736331.0
USW00014836,1/3/17,36,37,35,736332.0
USW00014836,1/4/17,25,35,15,736333.0
USW00014836,1/5/17,14,15,7,736334.0
USW00014836,1/6/17,9,15,4,736335.0
USW00014836,1/7/17,9,14,4,736336.0
USW00014836,1/8/17,11,17,6,736337.0
USW00014836,1/9/17,20,27,15,736338.0
USW00014836,1/10/17,32,47,26,736339.0
USW00014836,1/11/17,36,48,27,736340.0
USW00014836,1/12/17,33,37,24,736341.0
USW00014836,1/13/17,22,24,17,736342.0
USW00014836,1/14/17,23,30,20,736343.0
USW00014836,1/15/17,24,35,15,736344.0
USW00014836,1/16/17,27,34,21,736345.0
USW00014836,1/17/17,35,39,33,736346.0
USW00014836,1/18/17,37,39,33,736347.0
USW00014836,1/19/17,35,41,33,736348.0
USW00014836,1/20/17,35,39,34,736349.0
USW00014836,1/21/17,44,56,37,736350.0
USW00014836,1/22/17,44,48,37,736351.0
USW00014836,1/23/17,40,41,37,736352.0
USW00014836,1/24/17,38,39,37,736353.0
USW00014836,1/25/17,38,40,35,736354.0
USW00014836,1/26/17,36,38,32,736355.0
USW00014836,1/27/17,31,32,27,736356.0
USW00014836,1/28/17,28,29,27,736357.0
USW00014836,1/29/17,27,28,16,736358.0
USW00014836,1/30/17,20,25,11,736359.0
USW00014836,1/31/17,26,32,23,736360.0
USW00014836,2/1/17,31,35,25,736361.0
USW00014836,2/2/17,21,25,9,736362.0
USW00014836,2/3/17,16,22,11,736363.0
USW00014836,2/4/17,17,29,9,736364.0
USW00014836,2/5/17,31,35,20,736365.0
USW00014836,2/6/17,29,44,18,736366.0
USW00014836,2/7/17,37,45,34,736367.0
USW00014836,2/8/17,32,35,20,736368.0
USW00014836,2/9/17,19,20,13,736369.0
USW00014836,2/10/17,22,36,14,736370.0
USW00014836,2/11/17,38,45,35,736371.0
USW00014836,2/12/17,36,41,32,736372.0
USW00014836,2/13/17,34,43,26,736373.0
USW00014836,2/14/17,36,45,31,736374.0
USW00014836,2/15/17,30,32,24,736375.0
USW00014836,2/16/17,26,32,24,736376.0
USW00014836,2/17/17,35,52,28,736377.0
USW00014836,2/18/17,51,65,43,736378.0
USW00014836,2/19/17,49,62,36,736379.0
USW00014836,2/20/17,44,59,31,736380.0
USW00014836,2/21/17,49,61,42,736381.0
USW00014836,2/22/17,52,62,41,736382.0
USW00014836,2/23/17,55,58,42,736383.0
USW00014836,2/24/17,42,58,37,736384.0
USW00014836,2/25/17,36,42,22,736385.0
USW00014836,2/26/17,28,42,21,736386.0
USW00014836,2/27/17,40,51,28,736387.0
USW00014836,2/28/17,44,56,39,736388.0
USW00014836,3/1/17,50,56,25,736389.0
USW00014836,3/2/17,27,31,22,736390.0
USW00014836,3/3/17,23,29,17,736391.0
USW00014836,3/4/17,22,34,13,736392.0
USW00014836,3/5/17,32,47,23,736393.0
USW00014836,3/6/17,49,58,43,736394.0
USW00014836,3/7/17,54,59,39,736395.0
USW00014836,3/8/17,43,47,37,736396.0
USW00014836,3/9/17,37,41,31,736397.0
USW00014836,3/10/17,27,31,13,736398.0
USW00014836,3/11/17,18,29,12,736399.0
USW00014836,3/12/17,21,31,12,736400.0
USW00014836,3/13/17,24,27,17,736401.0
USW00014836,3/14/17,19,24,13,736402.0
USW00014836,3/15/17,20,33,13,736403.0
USW00014836,3/16/17,27,40,15,736404.0
USW00014836,3/17/17,30,35,20,736405.0
USW00014836,3/18/17,35,39,33,736406.0
USW00014836,3/19/17,38,48,34,736407.0
USW00014836,3/20/17,42,55,35,736408.0
USW00014836,3/21/17,44,54,23,736409.0
USW00014836,3/22/17,26,36,17,736410.0
USW00014836,3/23/17,32,47,22,736411.0
USW00014836,3/24/17,52,74,36,736412.0
USW00014836,3/25/17,42,43,37,736413.0
USW00014836,3/26/17,44,55,40,736414.0
USW00014836,3/27/17,52,57,45,736415.0
USW00014836,3/28/17,45,50,36,736416.0
USW00014836,3/29/17,42,54,29,736417.0
USW00014836,3/30/17,39,40,36,736418.0
USW00014836,3/31/17,37,39,35,736419.0
USW00014836,4/1/17,42,58,32,736420.0
USW00014836,4/2/17,47,60,32,736421.0
USW00014836,4/3/17,51,53,47,736422.0
USW00014836,4/4/17,48,55,41,736423.0
USW00014836,4/5/17,42,44,36,736424.0
USW00014836,4/6/17,36,39,33,736425.0
USW00014836,4/7/17,39,53,33,736426.0
USW00014836,4/8/17,46,61,29,736427.0
USW00014836,4/9/17,60,75,50,736428.0
USW00014836,4/10/17,67,76,56,736429.0
USW00014836,4/11/17,52,57,43,736430.0
USW00014836,4/12/17,47,59,42,736431.0
USW00014836,4/13/17,47,49,43,736432.0
USW00014836,4/14/17,51,66,40,736433.0
USW00014836,4/15/17,64,83,49,736434.0
USW00014836,4/16/17,67,69,53,736435.0
USW00014836,4/17/17,56,67,41,736436.0
USW00014836,4/18/17,53,70,37,736437.0
USW00014836,4/19/17,63,74,51,736438.0
USW00014836,4/20/17,55,67,47,736439.0
USW00014836,4/21/17,50,52,44,736440.0
USW00014836,4/22/17,48,61,36,736441.0
USW00014836,4/23/17,53,70,35,736442.0
USW00014836,4/24/17,56,72,37,736443.0
USW00014836,4/25/17,61,73,52,736444.0
USW00014836,4/26/17,68,82,59,736445.0
USW00014836,4/27/17,66,70,48,736446.0
USW00014836,4/28/17,52,64,45,736447.0
USW00014836,4/29/17,53,57,43,736448.0
USW00014836,4/30/17,44,48,40,736449.0
USW00014836,5/1/17,53,67,43,736450.0
USW00014836,5/2/17,46,50,39,736451.0
USW00014836,5/3/17,47,61,35,736452.0
USW00014836,5/4/17,47,50,43,736453.0
USW00014836,5/5/17,47,58,41,736454.0
USW00014836,5/6/17,49,61,38,736455.0
USW00014836,5/7/17,46,56,33,736456.0
USW00014836,5/8/17,44,59,28,736457.0
USW00014836,5/9/17,48,66,29,736458.0
USW00014836,5/10/17,58,70,46,736459.0
USW00014836,5/11/17,56,66,47,736460.0
USW00014836,5/12/17,56,69,41,736461.0
USW00014836,5/13/17,61,74,47,736462.0
USW00014836,5/14/17,61,71,50,736463.0
USW00014836,5/15/17,59,75,45,736464.0
USW00014836,5/16/17,70,87,53,736465.0
USW00014836,5/17/17,77,87,69,736466.0
USW00014836,5/18/17,77,84,50,736467.0
USW00014836,5/19/17,51,53,43,736468.0
USW00014836,5/20/17,53,65,45,736469.0
USW00014836,5/21/17,62,75,53,736470.0
USW00014836,5/22/17,58,69,49,736471.0
USW00014836,5/23/17,62,69,57,736472.0
USW00014836,5/24/17,59,69,54,736473.0
USW00014836,5/25/17,59,64,57,736474.0
USW00014836,5/26/17,61,71,55,736475.0
USW00014836,5/27/17,67,77,53,736476.0
USW00014836,5/28/17,69,82,57,736477.0
USW00014836,5/29/17,68,79,54,736478.0
USW00014836,5/30/17,63,72,51,736479.0
USW00014836,5/31/17,60,70,48,736480.0
USW00014836,6/1/17,62,76,48,736481.0
USW00014836,6/2/17,66,83,47,736482.0
USW00014836,6/3/17,69,86,52,736483.0
USW00014836,6/4/17,75,88,63,736484.0
USW00014836,6/5/17,66,74,51,736485.0
USW00014836,6/6/17,61,76,49,736486.0
USW00014836,6/7/17,64,78,51,736487.0
USW00014836,6/8/17,67,83,50,736488.0
USW00014836,6/9/17,71,85,60,736489.0
USW00014836,6/10/17,75,90,59,736490.0
USW00014836,6/11/17,81,93,71,736491.0
USW00014836,6/12/17,83,95,72,736492.0
USW00014836,6/13/17,83,92,72,736493.0
USW00014836,6/14/17,78,90,69,736494.0
USW00014836,6/15/17,78,89,68,736495.0
USW00014836,6/16/17,76,84,67,736496.0
USW00014836,6/17/17,75,88,69,736497.0
USW00014836,6/18/17,74,82,65,736498.0
USW00014836,6/19/17,70,78,60,736499.0
USW00014836,6/20/17,66,78,55,736500.0
USW00014836,6/21/17,65,80,51,736501.0
USW00014836,6/22/17,75,90,62,736502.0
USW00014836,6/23/17,74,80,67,736503.0
USW00014836,6/24/17,70,77,59,736504.0
USW00014836,6/25/17,64,72,56,736505.0
USW00014836,6/26/17,63,71,52,736506.0
USW00014836,6/27/17,62,75,50,736507.0
USW00014836,6/28/17,66,79,52,736508.0
USW00014836,6/29/17,74,86,65,736509.0
USW00014836,6/30/17,76,85,68,736510.0
USW00014836,7/1/17,75,84,67,736511.0
USW00014836,7/2/17,72,83,63,736512.0
USW00014836,7/3/17,72,83,63,736513.0
USW00014836,7/4/17,72,85,59,736514.0
USW00014836,7/5/17,75,88,59,736515.0
USW00014836,7/6/17,78,92,63,736516.0
USW00014836,7/7/17,78,88,67,736517.0
USW00014836,7/8/17,71,80,62,736518.0
USW00014836,7/9/17,70,84,57,736519.0
USW00014836,7/10/17,72,79,69,736520.0
USW00014836,7/11/17,77,90,66,736521.0
USW00014836,7/12/17,76,85,71,736522.0
USW00014836,7/13/17,78,84,70,736523.0
USW00014836,7/14/17,73,81,65,736524.0
