Unnamed: 0,STATION,DATE,TAVG,TMAX,TMIN,datenumber
0,USW00014836,1/1/18,7,12,3,736695.0
1,USW00014836,1/2/18,12,18,2,736696.0
2,USW00014836,1/3/18,8,17,2,736697.0
3,USW00014836,1/4/18,9,14,-5,736698.0
4,USW00014836,1/5/18,0,6,-8,736699.0
5,USW00014836,1/6/18,2,11,-7,736700.0
6,USW00014836,1/7/18,12,31,4,736701.0
7,USW00014836,1/8/18,33,37,28,736702.0
8,USW00014836,1/9/18,29,36,22,736703.0
9,USW00014836,1/10/18,33,50,27,736704.0
10,USW00014836,1/11/18,53,59,50,736705.0
11,USW00014836,1/12/18,34,50,11,736706.0
12,USW00014836,1/13/18,13,16,7,736707.0
13,USW00014836,1/14/18,9,17,-1,736708.0
14,USW00014836,1/15/18,16,20,13,736709.0
15,USW00014836,1/16/18,14,17,8,736710.0
16,USW00014836,1/17/18,13,27,0,736711.0
17,USW00014836,1/18/18,21,31,15,736712.0
18,USW00014836,1/19/18,29,37,24,736713.0
19,USW00014836,1/20/18,37,44,32,736714.0
20,USW00014836,1/21/18,36,39,32,736715.0
21,USW00014836,1/22/18,40,51,37,736716.0
22,USW00014836,1/23/18,38,46,27,736717.0
23,USW00014836,1/24/18,26,27,23,736718.0
24,USW00014836,1/25/18,28,35,25,736719.0
25,USW00014836,1/26/18,37,53,29,736720.0
26,USW00014836,1/27/18,48,51,30,736721.0
27,USW00014836,1/28/18,35,43,28,736722.0
28,USW00014836,1/29/18,26,28,16,736723.0
29,USW00014836,1/30/18,19,24,15,736724.0
30,USW00014836,1/31/18,29,41,23,736725.0
31,USW00014836,2/1/18,29,34,8,736726.0
32,USW00014836,2/2/18,12,18,9,736727.0
33,USW00014836,2/3/18,19,34,12,736728.0
34,USW00014836,2/4/18,26,31,7,736729.0
35,USW00014836,2/5/18,14,18,10,736730.0
36,USW00014836,2/6/18,15,22,10,736731.0
37,USW00014836,2/7/18,18,23,10,736732.0
38,USW00014836,2/8/18,16,21,9,736733.0
39,USW00014836,2/9/18,18,21,15,736734.0
40,USW00014836,2/10/18,18,20,14,736735.0
41,USW00014836,2/11/18,19,25,17,736736.0
42,USW00014836,2/12/18,19,26,8,736737.0
43,USW00014836,2/13/18,16,28,4,736738.0
44,USW00014836,2/14/18,31,44,23,736739.0
45,USW00014836,2/15/18,41,46,36,736740.0
46,USW00014836,2/16/18,33,36,19,736741.0
47,USW00014836,2/17/18,25,34,16,736742.0
48,USW00014836,2/18/18,31,38,25,736743.0
49,USW00014836,2/19/18,37,56,33,736744.0
50,USW00014836,2/20/18,57,61,48,736745.0
51,USW00014836,2/21/18,40,48,30,736746.0
52,USW00014836,2/22/18,33,41,29,736747.0
53,USW00014836,2/23/18,37,44,32,736748.0
54,USW00014836,2/24/18,37,43,33,736749.0
55,USW00014836,2/25/18,40,49,35,736750.0
56,USW00014836,2/26/18,39,50,27,736751.0
57,USW00014836,2/27/18,46,60,38,736752.0
58,USW00014836,2/28/18,51,60,38,736753.0
59,USW00014836,3/1/18,37,38,32,736754.0
60,USW00014836,3/2/18,34,44,26,736755.0
61,USW00014836,3/3/18,33,42,24,736756.0
62,USW00014836,3/4/18,32,44,21,736757.0
63,USW00014836,3/5/18,32,39,22,736758.0
64,USW00014836,3/6/18,33,38,30,736759.0
65,USW00014836,3/7/18,31,33,24,736760.0
66,USW00014836,3/8/18,26,31,21,736761.0
67,USW00014836,3/9/18,29,33,26,736762.0
68,USW00014836,3/10/18,28,34,17,736763.0
69,USW00014836,3/11/18,29,38,19,736764.0
70,USW00014836,3/12/18,29,39,21,736765.0
71,USW00014836,3/13/18,30,36,25,736766.0
72,USW00014836,3/14/18,29,39,22,736767.0
73,USW00014836,3/15/18,33,38,21,736768.0
74,USW00014836,3/16/18,27,39,19,736769.0
75,USW00014836,3/17/18,33,48,19,736770.0
76,USW00014836,3/18/18,39,56,24,736771.0
77,USW00014836,3/19/18,37,45,21,736772.0
78,USW00014836,3/20/18,28,40,21,736773.0
79,USW00014836,3/21/18,30,38,25,736774.0
80,USW00014836,3/22/18,32,45,21,736775.0
81,USW00014836,3/23/18,33,44,22,736776.0
82,USW00014836,3/24/18,31,42,20,736777.0
83,USW00014836,3/25/18,28,42,17,736778.0
84,USW00014836,3/26/18,36,53,20,736779.0
85,USW00014836,3/27/18,46,52,41,736780.0
86,USW00014836,3/28/18,43,47,39,736781.0
87,USW00014836,3/29/18,43,46,38,736782.0
88,USW00014836,3/30/18,37,45,28,736783.0
89,USW00014836,3/31/18,39,47,31,736784.0
90,USW00014836,4/1/18,32,37,22,736785.0
91,USW00014836,4/2/18,30,43,19,736786.0
92,USW00014836,4/3/18,37,39,32,736787.0
93,USW00014836,4/4/18,31,33,26,736788.0
94,USW00014836,4/5/18,31,41,25,736789.0
95,USW00014836,4/6/18,33,40,23,736790.0
96,USW00014836,4/7/18,26,32,19,736791.0
97,USW00014836,4/8/18,27,39,16,736792.0
98,USW00014836,4/9/18,33,41,30,736793.0
99,USW00014836,4/10/18,35,45,24,736794.0
100,USW00014836,4/11/18,42,56,35,736795.0
101,USW00014836,4/12/18,53,69,43,736796.0
102,USW00014836,4/13/18,45,58,37,736797.0
103,USW00014836,4/14/18,36,38,28,736798.0
104,USW00014836,4/15/18,31,33,29,736799.0
105,USW00014836,4/16/18,33,37,30,736800.0
106,USW00014836,4/17/18,31,36,26,736801.0
107,USW00014836,4/18/18,34,44,29,736802.0
108,USW00014836,4/19/18,39,54,30,736803.0
109,USW00014836,4/20/18,43,58,30,736804.0
110,USW00014836,4/21/18,47,59,35,736805.0
111,USW00014836,4/22/18,49,64,32,736806.0
112,USW00014836,4/23/18,54,73,36,736807.0
113,USW00014836,4/24/18,58,63,51,736808.0
114,USW00014836,4/25/18,52,59,40,736809.0
115,USW00014836,4/26/18,48,64,32,736810.0
116,USW00014836,4/27/18,51,62,42,736811.0
117,USW00014836,4/28/18,46,54,36,736812.0
118,USW00014836,4/29/18,43,59,26,736813.0
119,USW00014836,4/30/18,53,72,33,736814.0
120,USW00014836,5/1/18,68,83,55,736815.0
121,USW00014836,5/2/18,74,84,64,736816.0
122,USW00014836,5/3/18,66,72,59,736817.0
123,USW00014836,5/4/18,63,72,55,736818.0
124,USW00014836,5/5/18,65,80,56,736819.0
125,USW00014836,5/6/18,59,66,44,736820.0
126,USW00014836,5/7/18,54,69,39,736821.0
127,USW00014836,5/8/18,63,81,50,736822.0
128,USW00014836,5/9/18,68,79,53,736823.0
129,USW00014836,5/10/18,63,67,50,736824.0
130,USW00014836,5/11/18,46,50,40,736825.0
131,USW00014836,5/12/18,45,55,40,736826.0
132,USW00014836,5/13/18,53,64,47,736827.0
133,USW00014836,5/14/18,61,77,51,736828.0
134,USW00014836,5/15/18,66,75,55,736829.0
135,USW00014836,5/16/18,64,79,51,736830.0
136,USW00014836,5/17/18,65,73,50,736831.0
137,USW00014836,5/18/18,59,76,45,736832.0
138,USW00014836,5/19/18,62,70,57,736833.0
139,USW00014836,5/20/18,58,60,49,736834.0
140,USW00014836,5/21/18,54,64,46,736835.0
141,USW00014836,5/22/18,56,63,51,736836.0
142,USW00014836,5/23/18,62,80,49,736837.0
143,USW00014836,5/24/18,68,82,51,736838.0
144,USW00014836,5/25/18,73,88,58,736839.0
145,USW00014836,5/26/18,76,86,69,736840.0
146,USW00014836,5/27/18,77,92,61,736841.0
147,USW00014836,5/28/18,79,93,63,736842.0
148,USW00014836,5/29/18,80,91,68,736843.0
149,USW00014836,5/30/18,78,87,70,736844.0
150,USW00014836,5/31/18,76,87,70,736845.0
151,USW00014836,6/1/18,74,83,57,736846.0
152,USW00014836,6/2/18,59,66,53,736847.0
153,USW00014836,6/3/18,63,72,54,736848.0
154,USW00014836,6/4/18,62,71,56,736849.0
155,USW00014836,6/5/18,62,69,51,736850.0
156,USW00014836,6/6/18,59,72,45,736851.0
157,USW00014836,6/7/18,69,83,55,736852.0
158,USW00014836,6/8/18,70,82,58,736853.0
159,USW00014836,6/9/18,66,69,60,736854.0
160,USW00014836,6/10/18,63,69,57,736855.0
161,USW00014836,6/11/18,67,79,56,736856.0
162,USW00014836,6/12/18,69,78,59,736857.0
163,USW00014836,6/13/18,72,80,58,736858.0
164,USW00014836,6/14/18,70,83,54,736859.0
165,USW00014836,6/15/18,71,82,55,736860.0
166,USW00014836,6/16/18,74,85,65,736861.0
167,USW00014836,6/17/18,81,93,69,736862.0
168,USW00014836,6/18/18,83,91,72,736863.0
169,USW00014836,6/19/18,71,74,66,736864.0
170,USW00014836,6/20/18,67,72,60,736865.0
171,USW00014836,6/21/18,68,80,56,736866.0
