"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-01","9.62",,"0.00","0.0","3.9","7","12","3","  300","  310","19.9","27.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-02","14.76",,"0.00","0.0","3.9","12","18","2","  240","  230","23.9","31.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-03","11.41",,"0.02","0.3","3.1","8","17","2","  210","  200","23.9","31.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-04","7.83",,"0.00","0.0","3.9","9","14","-5","  330","  320","19.9","25.9",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-05","4.92",,"0.00","0.0","3.9","0","6","-8","  340","  350","14.1","18.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-06","2.68",,"0.00","0.0","3.1","2","11","-7","  360","  350","10.1","14.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-07","15.43",,"0.02","0.0","3.9","12","31","4","  190","  210","23.9","33.1","    1",,,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-08","14.99",,"0.17","1.1","3.9","33","37","28","  270","  260","25.1","32.0","    1",,,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-09","3.80",,"0.00","0.0","5.1","29","36","22","  150","  150","14.1","16.1","    1","    1",,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-10","12.97",,"0.01","0.0","5.1","33","50","27","  180","  190","18.1","25.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-11","14.54",,"0.17","0.0","0.0","53","59","50","  210","  220","23.9","31.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-12","14.76",,"0.40","3.1","0.0","34","50","11","  360","  360","25.9","32.0","    1","    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-13","6.26",,"0.00","0.0","2.0","13","16","7","  350","   10","18.1","23.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-14","6.93",,"0.00","0.0","2.0","9","17","-1","  210","  210","18.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-15","8.72",,"0.14","1.9","2.0","16","20","13","  160","  160","19.9","23.0","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-16","6.49",,"0.04","0.8","5.1","14","17","8","  220","  240","12.1","13.0","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-17","13.20",,"0.00","0.0","3.9","13","27","0","  260","  260","29.1","34.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-01-18","15.21",,"0.00","0.0","3.1","21","31","15","  240","  240","23.9","32.0",,,,,,,,
