STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,datenumber
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-01,13.2,,0.0,0.0,2.0,29.0,39.0,24.0,200.0,190.0,23.0,33.1,,,,,,,,,737425.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-02,14.09,,0.0,0.0,1.2,39.0,45.0,36.0,220.0,210.0,25.1,34.0,,,,,,,,,737426.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-03,5.59,,0.0,0.0,0.0,39.0,41.0,33.0,290.0,290.0,14.1,17.0,1.0,,,,,,,,737427.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-04,9.4,,0.0,0.0,0.0,32.0,33.0,29.0,290.0,290.0,18.1,27.1,1.0,,,,,,,,737428.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-05,12.97,,0.02,0.0,0.0,30.0,36.0,28.0,260.0,280.0,25.1,35.1,1.0,,,,,,1.0,,737429.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-06,15.21,,0.0,0.0,0.0,35.0,42.0,29.0,260.0,270.0,25.9,40.9,,,,,,,,,737430.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-07,10.74,,0.06,0.6,0.0,32.0,38.0,26.0,270.0,260.0,25.9,35.1,1.0,,,,,,1.0,,737431.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-08,10.51,,0.0,0.2,1.2,24.0,29.0,11.0,270.0,310.0,21.9,30.0,1.0,,,,,,1.0,,737432.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-09,16.55,,0.0,0.0,0.0,23.0,48.0,16.0,160.0,210.0,25.1,35.1,,,,,,,,,737433.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-10,8.72,,0.1,0.0,0.0,47.0,48.0,44.0,210.0,210.0,23.9,34.0,1.0,,,,,,,,737434.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-11,15.66,,2.38,0.2,0.0,40.0,51.0,24.0,30.0,20.0,28.0,42.9,1.0,,,,,1.0,,,737435.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-12,4.92,,0.04,0.3,1.2,24.0,27.0,19.0,350.0,360.0,21.9,32.0,1.0,,,,,1.0,,,737436.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-13,7.16,,0.02,0.1,1.2,29.0,34.0,27.0,260.0,250.0,14.1,19.0,1.0,,,,,,1.0,,737437.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-14,11.18,,0.0,0.0,1.2,34.0,37.0,32.0,260.0,270.0,21.0,30.0,1.0,,,,,,1.0,,737438.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-15,5.82,,0.0,0.0,0.0,33.0,37.0,25.0,290.0,300.0,15.0,21.0,1.0,,,,,,1.0,,737439.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-01-16,13.42,,0.02,0.0,0.0,29.0,34.0,20.0,280.0,290.0,25.1,38.0,1.0,,,,,,1.0,,737440.0
