"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-01","8.05",,"0.02","0.0","0.0","32","34","24","  300","  310","16.1","19.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-02","8.28",,"0.05",,"0.0","27","33","24","  260","  260","21.0","25.9","    1",,,,"    1",,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-03","14.32",,"0.00","0.0","0.0","31","38","29","  230","  210","21.0","28.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-04","7.38",,"0.00","0.0","0.0","37","50","27","  240","  230","18.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-05","7.61",,"0.00","0.0","0.0","35","50","24","  260","  250","19.9","25.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-06","7.61",,"0.00","0.0","0.0","36","39","28","  100","  110","17.0","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-07","19.69",,"0.21","0.0","0.0","34","51","31","  250","  260","32.0","42.1","    1",,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-08","12.75",,"0.01","0.0","0.0","43","44","31","  290","  280","30.0","36.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-09","15.66",,"0.02","0.2","0.0","27","31","19","  300","  310","23.9","33.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-10","10.29",,"0.00","0.0","0.0","22","27","20","  310","  320","21.9","29.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-11","3.58",,"0.00","0.0","0.0","22","28","16","  140","  150","8.9","11.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-12","9.40",,"0.00","0.0","0.0","28","30","24","   80","   60","19.9","23.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-13","8.50",,"0.00","0.0","0.0","24","31","16","   50","   70","17.0","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-14","4.92",,"0.00","0.0","0.0","21","34","12","  270","  240","14.1","17.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-15","13.20",,"0.00","0.0","0.0","27","28","25","  230","  220","23.0","30.0","    1",,,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-16","7.61",,"0.01","0.0","0.0","27","32","15","  230","  250","18.1","23.0","    1",,,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-17","5.82",,"0.02","0.0","0.0","23","31","16","  140","  140","15.0","18.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-18","6.93",,"0.01","0.1","0.0","28","30","22","   60","   60","15.0","18.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-19","14.32",,"0.29","4.0","2.0","20","22","6","   40","   40","25.1","32.0","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-20","10.07",,"0.00","0.0","0.0","5","9","-4","  330","  340","18.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-21","4.03",,"0.00","0.0","3.9","-1","13","-14","  170","  160","15.0","18.1",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-22","12.97",,"0.10",,"3.1","12","31","4","  160","  160","29.1","35.1","    1",,,"    1",,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-23","11.18",,"0.37",,,"34","41","28","  270","  280","23.9","29.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-24","12.97",,"0.00",,"2.0","27","28","20","  280","  270","21.9","30.0","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-25","15.21",,"0.01",,,"15","20","5","  240","  250","25.1","31.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-26","4.70",,"0.01",,,"7","15","-3","  180","  170","14.1","17.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-27","9.17",,"0.01",,,"13","15","-3","  250","  260","21.9","29.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-28","10.07",,"0.53",,,"9","20","-1","  110","  120","25.9","34.0","    1","    1",,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-29","16.11",,"0.05",,,"13","15","3","  250","  250","30.0","38.0","    1","    1",,,,,"    1","    1"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-30","16.55",,,,,"-2","3","-14","  240","  240","30.0","38.0","    1","    1",,,,,"    1","    1"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-31","11.63",,"0.00",,,"-9","4","-14","  250","  230","23.9","27.1",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-01","4.70",,"0.00","0.0",,"2","15","-7","  190","  190","14.1","18.1",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-02","11.86",,"0.00","0.0",,"22","41","10","  220","  220","23.0","29.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-03","12.30",,"0.00","0.0",,"42","48","38","  210","  210","17.0","23.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-04","11.63",,"0.18","0.0",,"48","51","39","  270","  270","23.9","29.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-05","10.07",,"0.00","0.0",,"35","39","29","  270","  270","21.0","25.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-06","6.93",,"0.64","0.7","0.0","31","32","29","  110","  110","19.9","25.9","    1",,,"    1",,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-07","12.53",,"0.19","0.0","0.0","33","51","28","  270","  270","40.0","51.0","    1","    1",,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-08","21.47",,"0.04","1.1","0.0","21","28","13","  240","  260","38.0","48.1","    1","    1",,,,,"    1","    1"
