days,TMAX
1.0,12
2.0,18
3.0,17
4.0,14
5.0,6
6.0,11
7.0,31
8.0,37
9.0,36
10.0,50
11.0,59
12.0,50
13.0,16
14.0,17
15.0,20
16.0,17
17.0,27
18.0,31
19.0,37
20.0,44
21.0,39
22.0,51
23.0,46
24.0,27
25.0,35
26.0,53
27.0,51
28.0,43
29.0,28
30.0,24
31.0,41
32.0,34
33.0,18
34.0,34
35.0,31
36.0,18
37.0,22
38.0,23
39.0,21
40.0,21
41.0,20
42.0,25
43.0,26
44.0,28
45.0,44
46.0,46
47.0,36
48.0,34
49.0,38
50.0,56
51.0,61
52.0,48
53.0,41
54.0,44
55.0,43
56.0,49
57.0,50
58.0,60
59.0,60
60.0,38
61.0,44
62.0,42
63.0,44
64.0,39
65.0,38
66.0,33
67.0,31
68.0,33
69.0,34
70.0,38
71.0,39
72.0,36
73.0,39
74.0,38
75.0,39
76.0,48
77.0,56
78.0,45
79.0,40
80.0,38
81.0,45
82.0,44
83.0,42
84.0,42
85.0,53
86.0,52
87.0,47
88.0,46
89.0,45
90.0,47
91.0,37
92.0,43
93.0,39
94.0,33
95.0,41
96.0,40
97.0,32
98.0,39
99.0,41
100.0,45
101.0,56
102.0,69
103.0,58
104.0,38
105.0,33
106.0,37
107.0,36
108.0,44
109.0,54
110.0,58
111.0,59
112.0,64
113.0,73
114.0,63
115.0,59
116.0,64
117.0,62
118.0,54
119.0,59
120.0,72
121.0,83
122.0,84
123.0,72
124.0,72
125.0,80
126.0,66
127.0,69
128.0,81
129.0,79
130.0,67
131.0,50
132.0,55
133.0,64
134.0,77
135.0,75
136.0,79
137.0,73
138.0,76
139.0,70
140.0,60
141.0,64
142.0,63
143.0,80
144.0,82
145.0,88
146.0,86
147.0,92
148.0,93
149.0,91
150.0,87
151.0,87
152.0,83
153.0,66
154.0,72
155.0,71
156.0,69
157.0,72
158.0,83
159.0,82
160.0,69
161.0,69
162.0,79
163.0,78
164.0,80
165.0,83
166.0,82
167.0,85
168.0,93
169.0,91
170.0,74
171.0,72
172.0,80
173.0,74
174.0,72
175.0,75
176.0,77
177.0,80
178.0,76
179.0,88
180.0,91
181.0,94
182.0,94
183.0,86
184.0,91
185.0,95
186.0,94
187.0,78
188.0,82
189.0,88
190.0,90
191.0,88
192.0,86
193.0,87
194.0,91
195.0,81
196.0,92
197.0,92
198.0,83
199.0,81
200.0,85
201.0,81
202.0,77
203.0,74
204.0,80
205.0,84
206.0,87
207.0,81
208.0,78
209.0,80
210.0,84
211.0,84
212.0,79
213.0,82
214.0,86
215.0,85
216.0,91
217.0,95
218.0,78
219.0,87
220.0,84
221.0,83
222.0,84
223.0,87
224.0,86
225.0,87
226.0,89
227.0,87
228.0,78
229.0,78
230.0,82
231.0,83
232.0,80
233.0,77
234.0,77
235.0,80
236.0,76
237.0,78
238.0,85
239.0,89
240.0,87
241.0,79
242.0,75
243.0,82
244.0,81
245.0,87
246.0,86
247.0,89
248.0,89
249.0,73
250.0,69
251.0,67
252.0,65
253.0,66
254.0,77
255.0,79
256.0,78
257.0,82
258.0,84
259.0,86
260.0,89
261.0,85
262.0,79
263.0,81
264.0,79
265.0,66
266.0,71
267.0,68
268.0,79
269.0,66
270.0,63
271.0,60
272.0,60
273.0,50
274.0,58
275.0,65
276.0,81
277.0,78
278.0,57
279.0,74
280.0,57
281.0,84
282.0,84
283.0,75
284.0,67
285.0,46
286.0,53
287.0,60
288.0,51
289.0,55
290.0,47
291.0,53
292.0,55
293.0,55
294.0,45
295.0,58
296.0,53
297.0,48
298.0,49
299.0,52
300.0,45
301.0,46
302.0,54
303.0,57
304.0,56
305.0,47
306.0,48
307.0,47
308.0,51
309.0,51
310.0,53
311.0,43
312.0,40
313.0,36
314.0,35
315.0,38
316.0,39
317.0,32
318.0,32
319.0,33
320.0,37
321.0,35
322.0,37
323.0,37
324.0,33
325.0,34
326.0,29
327.0,50
328.0,47
329.0,42
330.0,33
331.0,29
332.0,27
333.0,30
334.0,38
335.0,37
336.0,54
337.0,38
338.0,33
339.0,30
340.0,31
341.0,30
342.0,30
343.0,32
344.0,34
345.0,32
346.0,40
347.0,37
348.0,40
349.0,36
350.0,37
351.0,38
352.0,36
353.0,48
354.0,44
355.0,40
356.0,32
357.0,35
358.0,33
359.0,32
360.0,44
361.0,50
362.0,53
363.0,33
364.0,32
365.0,39
