,carat,cut,color,clarity,depth,table,price,x,y,z
229,0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21
250,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22
256,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41
281,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6
304,0.6,Very Good,G,IF,61.6,56.0,2800,5.43,5.46,3.35
313,0.61,Ideal,G,IF,62.3,56.0,2800,5.43,5.45,3.39
326,0.53,Ideal,F,IF,61.9,54.0,2802,5.22,5.25,3.24
569,0.56,Very Good,E,IF,61.0,59.0,2833,5.28,5.34,3.24
688,0.58,Very Good,E,IF,60.6,59.0,2852,5.37,5.43,3.27
788,0.62,Fair,F,IF,60.1,61.0,2861,5.53,5.56,3.33
841,0.62,Ideal,G,IF,60.5,57.0,2868,5.52,5.56,3.35
846,0.62,Ideal,G,IF,61.8,56.0,2869,5.43,5.47,3.37
913,0.63,Premium,E,IF,60.3,62.0,2879,5.55,5.53,3.34
926,0.7,Very Good,H,IF,62.8,56.0,2882,5.62,5.65,3.54
1160,0.51,Very Good,E,IF,63.3,58.0,2925,5.03,5.08,3.2
1161,0.71,Ideal,I,IF,61.5,56.0,2925,5.74,5.77,3.54
1293,0.74,Ideal,I,IF,62.1,53.9,2952,5.79,5.81,3.6
1331,0.64,Ideal,G,IF,61.7,58.0,2960,5.52,5.56,3.42
1394,0.24,Ideal,G,IF,61.7,56.0,559,3.99,4.01,2.47
1395,0.24,Ideal,G,IF,60.8,58.0,559,4.01,4.05,2.44
1396,0.24,Ideal,G,IF,61.8,55.0,559,3.99,4.02,2.47
1397,0.24,Ideal,G,IF,61.6,57.0,559,3.99,4.02,2.46
1398,0.24,Ideal,G,IF,61.3,57.0,559,4.0,4.03,2.46
1403,0.25,Very Good,F,IF,61.5,56.0,560,4.04,4.06,2.48
1404,0.27,Very Good,F,IF,60.4,58.0,560,4.18,4.2,2.53
1436,0.57,Ideal,F,IF,61.8,54.0,2974,5.33,5.35,3.3
1463,0.64,Good,F,IF,58.6,61.0,2980,5.69,5.71,3.34
1486,0.6,Very Good,F,IF,60.1,54.0,2988,5.5,5.58,3.33
1488,0.76,Ideal,I,IF,61.6,55.0,2988,5.92,5.89,3.64
1690,0.52,Ideal,E,IF,61.1,57.0,3033,5.17,5.21,3.17
1774,0.72,Premium,H,IF,58.7,59.0,3048,5.94,5.88,3.47
1791,0.66,Very Good,G,IF,60.5,59.0,3051,5.69,5.74,3.46
1854,0.65,Ideal,H,IF,61.5,55.0,3065,5.6,5.62,3.45
2089,0.71,Very Good,H,IF,63.0,57.0,3112,5.63,5.7,3.57
2213,0.68,Very Good,G,IF,62.7,56.0,3143,5.56,5.6,3.5
2235,0.71,Ideal,H,IF,61.2,56.0,3146,5.74,5.79,3.53
2320,0.7,Ideal,H,IF,62.2,55.0,3167,5.68,5.71,3.54
2442,0.72,Premium,G,IF,60.1,58.0,3185,5.89,5.86,3.53
2457,0.71,Ideal,H,IF,62.0,54.0,3190,5.71,5.75,3.55
2531,0.71,Fair,F,IF,58.7,62.0,3205,5.87,5.81,3.43
2615,0.82,Premium,I,IF,61.2,60.0,3224,6.03,5.99,3.68
2650,0.71,Ideal,H,IF,62.2,57.0,3234,5.7,5.74,3.56
2789,0.72,Ideal,H,IF,61.4,56.0,3257,5.76,5.8,3.55
2850,0.67,Ideal,G,IF,61.6,55.0,3271,5.61,5.65,3.47
2904,0.72,Ideal,H,IF,62.1,58.0,3283,5.72,5.75,3.56
2931,0.71,Ideal,H,IF,61.1,56.0,3290,5.74,5.78,3.52
2932,0.71,Ideal,H,IF,61.6,55.0,3290,5.75,5.78,3.55
2989,0.73,Ideal,H,IF,62.2,54.0,3301,5.76,5.82,3.6
3007,0.76,Good,G,IF,64.6,61.0,3304,5.72,5.8,3.72
3028,0.7,Ideal,H,IF,61.3,59.0,3309,5.69,5.72,3.5
3049,0.27,Very Good,G,IF,60.8,57.0,566,4.2,4.22,2.56
3052,0.27,Ideal,H,IF,61.6,56.0,566,4.18,4.21,2.58
3053,0.27,Ideal,G,IF,61.6,57.0,566,4.18,4.21,2.58
3062,0.62,Ideal,G,IF,61.8,56.0,3310,5.45,5.48,3.38
3169,0.61,Very Good,E,IF,61.7,58.0,3337,5.39,5.47,3.35
3218,0.71,Premium,H,IF,62.9,60.0,3349,5.74,5.67,3.59
3244,0.71,Ideal,H,IF,63.0,57.0,3354,5.68,5.72,3.59
3252,0.8,Ideal,I,IF,62.4,58.0,3357,5.9,5.96,3.7
3283,0.63,Ideal,G,IF,61.9,56.0,3363,5.5,5.52,3.41
3298,0.76,Very Good,H,IF,62.6,57.0,3367,5.8,5.83,3.64
3342,0.5,Good,D,IF,63.2,59.0,3378,4.99,5.04,3.17
3343,0.5,Very Good,D,IF,62.9,59.0,3378,4.99,5.09,3.17
3345,0.73,Ideal,H,IF,61.6,55.0,3378,5.8,5.82,3.58
3346,0.62,Ideal,G,IF,60.3,57.0,3378,5.54,5.61,3.35
3394,0.27,Very Good,F,IF,59.4,61.0,567,4.23,4.26,2.52
3428,0.71,Premium,H,IF,60.2,61.0,3384,5.8,5.76,3.48
3470,0.71,Good,F,IF,62.1,62.0,3393,5.68,5.79,3.56
3511,0.7,Premium,E,IF,62.9,59.0,3403,5.66,5.59,3.4
3520,0.72,Very Good,G,IF,63.3,54.0,3405,5.64,5.73,3.6
3625,0.73,Ideal,H,IF,61.4,59.0,3429,5.77,5.83,3.56
3668,0.71,Very Good,H,IF,60.2,61.0,3444,5.76,5.8,3.48
3680,0.51,Ideal,D,IF,62.0,56.0,3446,5.14,5.18,3.2
3682,0.51,Ideal,D,IF,62.1,55.0,3446,5.12,5.13,3.19
3692,0.7,Premium,G,IF,60.0,59.0,3447,5.75,5.79,3.46
3734,0.35,Ideal,J,IF,61.8,55.0,569,4.54,4.56,2.81
3735,0.35,Ideal,J,IF,61.8,53.0,569,4.58,4.61,2.84
3971,0.55,Good,D,IF,58.0,62.0,3509,5.31,5.41,3.12
4000,0.53,Ideal,D,IF,61.5,54.0,3517,5.27,5.21,3.22
4102,0.65,Ideal,G,IF,60.1,57.0,3536,5.61,5.65,3.38
4130,0.7,Very Good,G,IF,58.5,60.0,3543,5.83,5.87,3.42
4141,0.71,Premium,G,IF,61.9,58.0,3545,5.74,5.77,3.56
4251,0.71,Premium,F,IF,61.1,58.0,3578,5.8,5.72,3.52
4271,0.71,Good,G,IF,57.8,62.0,3583,5.82,5.95,3.4
4301,0.7,Premium,G,IF,62.2,58.0,3591,5.63,5.69,3.52
4426,0.72,Very Good,G,IF,60.7,56.0,3614,5.78,5.81,3.52
4473,0.7,Very Good,E,IF,63.4,58.0,3622,5.64,5.59,3.56
4549,0.71,Premium,G,IF,62.0,58.0,3642,5.67,5.72,3.53
4647,0.9,Good,I,IF,63.7,64.0,3669,6.07,6.02,3.85
4678,0.7,Ideal,G,IF,60.2,57.0,3672,5.78,5.84,3.5
4699,0.9,Ideal,J,IF,62.2,57.0,3677,6.17,6.14,3.83
4917,0.7,Very Good,G,IF,63.0,59.0,3725,5.58,5.62,3.53
4960,0.9,Good,I,IF,63.7,64.0,3734,6.02,6.07,3.85
4983,0.71,Ideal,G,IF,60.9,57.0,3739,5.74,5.79,3.51
5032,0.63,Ideal,F,IF,60.9,57.0,3749,5.53,5.57,3.38
5117,0.74,Ideal,H,IF,60.9,57.0,3760,5.83,5.85,3.56
5171,0.71,Ideal,G,IF,61.8,57.0,3772,5.7,5.75,3.54
5186,0.8,Ideal,H,IF,61.1,56.0,3774,6.02,5.96,3.66
5226,0.73,Ideal,H,IF,62.3,55.0,3785,5.77,5.79,3.6
5345,0.53,Ideal,D,IF,62.2,55.0,3812,5.17,5.19,3.22
5434,0.53,Very Good,D,IF,59.8,60.0,3827,5.22,5.28,3.14
5457,0.63,Ideal,D,IF,61.2,53.0,3832,5.55,5.6,3.41
5651,0.73,Ideal,F,IF,61.2,55.0,3880,5.86,5.8,3.57
5687,0.7,Very Good,F,IF,61.5,58.0,3887,5.65,5.7,3.49
5953,0.7,Ideal,G,IF,61.3,56.0,3949,5.72,5.73,3.51
5975,0.72,Premium,E,IF,61.3,60.0,3951,5.74,5.71,3.51
6084,0.8,Ideal,H,IF,62.4,54.0,3972,5.93,5.99,3.72
6238,0.71,Ideal,H,IF,61.2,56.0,4007,5.76,5.86,3.54
6310,0.56,Very Good,D,IF,62.5,59.0,4025,5.26,5.3,3.3
6338,0.57,Very Good,D,IF,61.3,57.0,4032,5.33,5.41,3.29
6383,0.25,Premium,F,IF,61.1,58.0,576,4.08,4.1,2.5
6441,0.79,Ideal,H,IF,61.3,56.0,4046,5.96,5.98,3.66
6775,0.81,Ideal,H,IF,61.6,58.0,4111,5.98,6.01,3.69
6947,0.73,Ideal,G,IF,62.3,56.0,4142,5.72,5.78,3.58
6974,0.76,Premium,F,IF,60.6,60.0,4150,5.89,5.85,3.56
7037,0.59,Ideal,D,IF,60.7,58.0,4161,5.45,5.49,3.32
7173,0.65,Ideal,E,IF,62.3,56.0,4184,5.52,5.56,3.45
7227,0.8,Premium,G,IF,62.6,58.0,4193,5.93,5.89,3.7
7320,0.59,Ideal,D,IF,60.9,57.0,4208,5.4,5.43,3.3
7357,0.56,Ideal,D,IF,62.4,56.0,4216,5.24,5.28,3.28
7377,0.76,Premium,F,IF,60.6,60.0,4223,5.85,5.89,3.56
7428,0.72,Ideal,F,IF,62.0,57.0,4228,5.71,5.78,3.56
7641,0.8,Premium,G,IF,62.6,58.0,4268,5.89,5.93,3.7
7809,0.56,Ideal,D,IF,61.9,57.0,4293,5.28,5.31,3.28
8049,0.25,Ideal,G,IF,61.1,57.0,582,4.06,4.07,2.48
8288,0.74,Ideal,F,IF,61.9,55.0,4383,5.79,5.84,3.6
8592,0.56,Very Good,D,IF,60.7,56.0,4440,5.34,5.36,3.25
8719,0.28,Ideal,H,IF,63.0,55.0,586,4.14,4.19,2.62
8720,0.28,Ideal,H,IF,62.0,56.0,586,4.2,4.23,2.61
9042,0.27,Ideal,I,IF,60.5,57.0,587,4.2,4.22,2.55
9060,0.9,Premium,I,IF,62.6,59.0,4516,6.15,6.12,3.84
9450,0.9,Very Good,I,IF,62.6,59.0,4596,6.12,6.15,3.84
9451,0.76,Ideal,F,IF,59.6,58.0,4596,5.95,5.96,3.55
