,Without nanoparticles,,,,,CS-AgNPS 3.5µg/ml,,,,
Rugose,RΔrbmA,RΔbap1,RΔrbmC,RΔABC,,Rugose,RΔrbmA,RΔbap1,RΔrbmC,RΔABC
260000000,120000000,360000000,140000000,260000000,,160000,1600000,18000,260000,0
380000000,160000000,280000000,200000000,360000000,,80000,30000000,20000,40000,0
320000000,100000000,180000000,140000000,2800000000,,20000,40000000,0,0,0
220000000,200000000,380000000,280000000,260000000,,400000,1400000,10000,60000,0
320000000,200000000,160000000,340000000,540000000,,800000,36000000,30000,200000,0
180000000,220000000,220000000,180000000,2800000000,,40000,38000000,0,0,0
160000000,120000000,260000000,200000000,140000000,,400000,1000000,8000,0,0
360000000,27000,320000000,180000000,540000000,,4000,28000000,30000,8000,0
300000000,160000000,160000000,200000000,2400000000,,0,40000000,0,260000,0
