,Rugose (biofilm),,,,,,,,,RΔrbmA,,,,,,,,,RΔbap1,,,,,,,,RΔrbmC,,,,,,,RΔABC (no biofilm),,,,,,,
Time [h],Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,Without nanoparticles,,,,"CS-AgNPS 0.11µg/ml
CS 0.22 μg/ml",,,
0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0.25,0.001,0.005,0.004,0.002,0,0,0,0,,-0.004,0,-0.001,-0.001,-0.0007,0,-0.0001,-0.0001,,0,0,0,-0.0042,-0.0031,-0.0034,-0.0002,,0.001,0,-0.001,0.0003,0.0002,0,,0,0,0,0.001,0.0002,-0.0002,-0.0001,0.0003
0.5,0.001,0.008,0.006,0.01,0,0.001,0,0,,-0.003,0,-0.001,-0.001,-0.0005,-0.0001,-0.0003,-0.0003,,0,0.001,0,-0.0039,-0.0029,-0.0035,-0.0004,,0,0,0.001,0.0002,0.0001,0,,0,0,0,0.002,0.0002,-0.0001,-0.0001,0.0006
0.75,0.001,0.01,0.006,0.008,0.001,0.001,0,0,,-0.002,0,-0.001,0,-0.0006,0.0001,-0.0002,-0.0002,,0,0.001,0,-0.0041,-0.0029,-0.0035,-0.0002,,0.001,0,0,0.0002,0.0002,0,,0,0,0,0.002,0.0004,-0.0002,-0.0002,0.0005
1,0.001,0.007,0.005,0.006,0.001,0.001,0,0,,-0.002,0,-0.002,-0.002,-0.0003,0,-0.0004,-0.0005,,0,0,0,-0.004,-0.003,-0.0035,-0.0002,,0,0,0,0.0001,0.0003,0,,0,0,0.001,0.002,0.0003,-0.0003,-0.0002,0.0006
1.25,0.001,0.007,0.004,0.004,0.001,0.001,0,0,,-0.003,0,-0.002,-0.002,-0.0005,0,-0.0007,-0.0006,,0,0,0,-0.0039,-0.003,-0.0035,-0.0002,,0.002,0,0.001,0.0001,0.0003,0,,0,0,0.001,0.002,0.0003,-0.0002,-0.0001,0.0006
1.5,0.001,0.009,0.006,0.004,0.001,0.001,0.001,0,,-0.002,0,-0.001,-0.001,-0.0004,-0.0002,-0.0005,-0.0002,,0,0,0.001,-0.0038,-0.003,-0.0035,0,,0.001,0,0.001,0.0001,0.0003,0,,0,0,0.001,0.003,0.0003,-0.0002,-0.0001,0.0007
1.75,0.001,0.01,0.008,0.006,0.001,0.001,0.001,0,,-0.003,0,-0.001,-0.003,-0.0004,0.0001,-0.0003,-0.0002,,0,0.001,0.001,-0.0037,-0.0028,-0.0034,-0.0001,,0.002,0,-0.001,0.0003,0.0004,0,,0,0,0.001,0.003,0.0003,-0.0001,0.0001,0.0007
2,0,0.009,0.006,0.01,0.001,0.001,0.001,0,,0,0,-0.002,-0.002,-0.0003,0,0.0003,0.0003,,0,0,0.001,-0.0037,-0.0027,-0.0033,0.0003,,0.002,0,0.001,0.0003,0.0004,0,,0,0,0.001,0.005,0.0005,0,0.0001,0.0007
2.25,0,0.004,0.005,0.006,0.001,0.001,0.001,0,,-0.001,0,-0.002,-0.002,-0.0002,0.0001,0.0001,0.0001,,0,0,0.001,-0.0035,-0.0026,-0.0033,0.0001,,0.002,0.001,0.001,0.0003,0.0006,0,,0,0,0.001,0.004,0.0005,0,0.0001,0.0008
