year,region,harvest,anomaly,Latitude,Longitude
1700,Alsace,42.9,-0.91,48.17,7.28
1701,Alsace,35.9,-0.76,48.17,7.28
1702,Alsace,45.0,-1.4,48.17,7.28
1703,Alsace,49.4,-1.21,48.17,7.28
1704,Alsace,30.4,-0.44,48.17,7.28
1705,Alsace,46.9,-0.76,48.17,7.28
1706,Alsace,38.7,-1.04,48.17,7.28
1707,Alsace,44.0,-1.3,48.17,7.28
1708,Alsace,32.0,-1.51,48.17,7.28
1709,Alsace,29.9,-2.13,48.17,7.28
1710,Alsace,37.9,-0.02,48.17,7.28
1711,Alsace,39.4,-0.09,48.17,7.28
1712,Alsace,37.9,-0.37,48.17,7.28
1713,Alsace,44.9,-0.87,48.17,7.28
1714,Alsace,47.9,-0.07,48.17,7.28
1715,Alsace,36.4,-0.07,48.17,7.28
1716,Alsace,44.9,-1.13,48.17,7.28
1717,Alsace,42.0,-0.47,48.17,7.28
1718,Alsace,21.0,-0.22,48.17,7.28
1719,Alsace,40.7,-0.02,48.17,7.28
1720,Alsace,40.7,-0.41,48.17,7.28
1721,Alsace,44.4,-0.6,48.17,7.28
1722,Alsace,37.0,0.79,48.17,7.28
1723,Alsace,38.4,1.46,48.17,7.28
1724,Alsace,39.7,-0.2,48.17,7.28
1725,Alsace,53.9,-0.15,48.17,7.28
1726,Alsace,32.0,-0.06,48.17,7.28
1727,Alsace,35.0,0.79,48.17,7.28
1728,Alsace,40.0,-0.31,48.17,7.28
1729,Alsace,35.9,-0.45,48.17,7.28
1730,Alsace,45.9,0.33,48.17,7.28
1731,Alsace,46.9,-0.26,48.17,7.28
1732,Alsace,36.9,-0.33,48.17,7.28
1733,Alsace,43.4,0.61,48.17,7.28
1734,Alsace,37.7,0.28,48.17,7.28
1735,Alsace,47.9,0.46,48.17,7.28
1736,Alsace,41.7,0.35,48.17,7.28
1737,Alsace,34.7,0.32,48.17,7.28
1738,Alsace,35.0,0.49,48.17,7.28
1739,Alsace,33.7,-0.79,48.17,7.28
1740,Alsace,49.0,-2.47,48.17,7.28
1741,Alsace,45.9,-0.19,48.17,7.28
1742,Alsace,52.9,-1.27,48.17,7.28
1743,Alsace,45.4,0.52,48.17,7.28
1744,Alsace,47.4,-0.59,48.17,7.28
1745,Alsace,47.9,-0.78,48.17,7.28
1747,Alsace,42.4,-0.18,48.17,7.28
1748,Alsace,37.9,-0.36,48.17,7.28
1749,Alsace,40.4,-0.13,48.17,7.28
1750,Alsace,44.0,0.31,48.17,7.28
1751,Alsace,50.9,-0.91,48.17,7.28
1752,Alsace,48.9,0.14,48.17,7.28
1753,Alsace,40.0,-0.89,48.17,7.28
1754,Alsace,47.0,-0.87,48.17,7.28
1755,Alsace,37.9,-0.83,48.17,7.28
